Party,Assembly_No,Constituency,Candidate_Name,Category,Notes
AIADMK,,Edappadi,K. Palaniswami,,
AIADMK,,Veppanahalli,K.P. Munusamy,,
AIADMK,,Thindukkal (Dindigul),C. Srinivasan,,
AIADMK,,Natham,Natham R. Viswanathan,,
AIADMK,,Thondamuthur,S.P. Velumani,,
AIADMK,,Kumarapalayam,P. Thangamani,,
AIADMK,,Rayapuram (Royapuram),D. Jayakumar,,
AIADMK,,Mailam,C.Ve. Shanmugam,,
AIADMK,,Madurai West,Sellur K. Raju,,
AIADMK,,Palacode,K.P. Anbazhagan,,
AIADMK,,Nannilam,R. Kamaraj,,
AIADMK,,Vedaranyam,O.S. Manian,,
AIADMK,,Viralimali (Viralimalai),Dr. C. Vijayabaskar,,
AIADMK,,Kolathur,K.P. Rajan,,
AIADMK,,Tirumangalam,R.B. Udhayakumar,,
AIADMK,,Sivakasi,K.T. Rajenthra Bhalaji,,
AIADMK,,Madhavaram,P. Benjamin,,
AIADMK,,Kalasapakkam,V. Karunanithi,,
AIADMK,,Thiruparankundram,V.V. Rajan Chellappa,,
AIADMK,,Bhavani,K.C. Karuppannan,,
AIADMK,,Jolarpet,K.C. Veeramani,,
AIADMK,,Karur,M.R. Vijayabhaskar,,
AIADMK,,Ariyalur,S. Rajendran,,
AIADMK,,Kumbidipundi (Gummidipoondi),V. Sathan,,
AIADMK,,Thuraiyur,I. Saroja,SC,
AIADMK,,Perambalur,R. Tamilselvan,SC,
AIADMK,,Neyveli,Sorathur R. Rajendran,,
AIADMK,,Panruti,K. Mohan,,
AIADMK,,Cuddalore,M.C. Sampath,,
AIADMK,,Kurinjipadi,A. Bhuvanendran,,
AIADMK,,Bhuvanagiri,A. Arunmozhithevan,,
AIADMK,,Chidambaram,K.A. Pandiyan,,
AIADMK,,Sirkazhi,M. Sakthi,SC,
AIADMK,,Poompuhar,S. Pavunraj,,
AIADMK,,Nagapattinam,Thanga. Kathiravan,,
AIADMK,,Thiruthuraipoondi,U. Baladandayutham,SC,
AIADMK,,Thiruvidaimarudur,Ilamathi Subramanian,SC,
AIADMK,,Papanasam,D. Shanmugaprabu,,
AIADMK,,Orathanadu,M. Sekar,,
AIADMK,,Pattukkottai,C.V. Sekar,,
AIADMK,,Peravurani,Kovi. Ilango,,
AIADMK,,Thirumayam,P.K. Vairamuthu,,
AIADMK,,Sivaganga,PR. Senthilnathan,,
AIADMK,,Melur,P. Periyapullan (alias) Selvam,,
AIADMK,,Madurai East,Mangalam K. Mahendran,,
AIADMK,,Sholavandan,K. Manikkam,SC,
AIADMK,,Madurai North,P. Saravanan,,
AIADMK,,Usilampatti,I. Mahendran,,
AIADMK,,Andipatti,A. Logirajan,,
AIADMK,,Bodinayakanur,V.T. Narayanasamy,,
AIADMK,,Cumbum,S.T.K. Jakkaiyan,,
AIADMK,,Srivilliputhur,M. Chandhrapraba,SC,
AIADMK,,Virudhunagar,V.G. Ganesan,,
AIADMK,,Aruppukkottai,S. Sethupathi,,
AIADMK,,Paramakudi,S. Muthaiah,SC,
AIADMK,,Tiruvadanai,Keerthika Muniyasamy,,
AIADMK,,Mudukulathur,Malaysia S. Pandi,,
AIADMK,,Vilathikulam,R. Sathya,,
AIADMK,,Thoothukudi,Ci.Dha. Sellappandiyan,,
AIADMK,,Srivaikuntam,S.P. Shanmuganathan,,
AIADMK,,Sankarankovil,Thilipan Jaisankar,SC,
AIADMK,,Kadayanallur,C. Krishnamurali,,
AIADMK,,Tenkasi,S. Selvamogandhas-Pandiyan,,
AIADMK,,Alangulam,K.R.P. Prabakaran,,
AIADMK,,Tirunelveli,Thatchai N. Ganesharaja,,
AIADMK,,Ambasamudram,Esakki Subbaiah (alias) I. Subbaiah,,
AIADMK,,Palayamkottai,S. Syed Sulthan Samsudeen,,
AIADMK,,Kanniyakumari,N. Thalavaisundaram,,
AIADMK,,Ponneri,P. Balaraman,SC,
AIADMK,,Tiruttani,K. Thiruthani,,
AIADMK,,Tiruvallur,B.V. Ramana,,
AIADMK,,Madhavaram (2),V. Moorthy,,
AIADMK,,Tiruvottiyur,K. Kuppan,,
AIADMK,,Srirampur,K. Pazhani,SC,
AIADMK,,Dharmapuri,S. Ramachandran,,
AIADMK,,Chengalpattu,M. Raja (alias) K. Rajendran,,
AIADMK,,Cheyyur,E. Rajasekar,SC,
AIADMK,,Maduranthakam,Maragatham Kumaravel,SC,
AIADMK,,Kancheepuram,V. Somnath,,
AIADMK,,Arakkonam,S. Ravi,SC,
AIADMK,,Katpadi,V. Ramu,,
AIADMK,,Arcot,S.M. Sugumar,,
AIADMK,,Pappireddippatti,Maragatham Vetrivel,,
AIADMK,,Harur,V. Sampathkumar,SC,
AIADMK,,Chengam,T.S. Velu,SC,
AIADMK,,Kilpennathur,S. Ramachandran,,
AIADMK,,Arani,L. Jayasudha,,
AIADMK,,Cheyyar,Mukkur N. Subramanian,,
AIADMK,,Vandavasi,P. Rani,SC,
AIADMK,,Tindivanam,P. Arjunan,SC,
AIADMK,,Vanur,P. Murugan,SC,
AIADMK,,Vellore,S.R.K. Appu,,
AIADMK,,Anaicut (Anaikattu),D. Velazhagan,,
AIADMK,,Gudiyattam,G. Parisa Purushothaman,SC,
AIADMK,,Vaniyambadi,G. Sendhil Kumar,,
AIADMK,,Ambur,R. Venkatesan,,
AIADMK,,Uthangarai,T.M. Tamilselvam,SC,
AIADMK,,Bargur,E.C. Govindarasu,,
AIADMK,,Krishnagiri,K. Ashok Kumar,,
AIADMK,,Hosur,P. Balakrishna Reddy,,
AIADMK,,Coimbatore South,Amman K. Arjunan,,
AIADMK,,Singanallur,K.R. Jayaram,,
AIADMK,,Kinathukadavu,Se. Damodaran,,
AIADMK,,Pollachi,Pollachi V. Jayaraman,,
AIADMK,,Valparai,D. Lakshmanan,SC,
AIADMK,,Udumalaipettai,Udumalai K. Radhakrishnan,,
AIADMK,,Palani,K. Ravi Manoharan,,
AIADMK,,Oddanchatram,A. Viswanathan,,
AIADMK,,Nilakottai,S. Thenmozhi,SC,
AIADMK,,Vedasandur,V.P.B. Paramasivam,,
AIADMK,,Aravakurichi,K. Selvakumar,,
AIADMK,,Krishnarayapuram,S. Divya,SC,
AIADMK,,Kulithalai,S. Kandhasamy,,
AIADMK,,Manapparai,P.L. Vijayakumar,,
AIADMK,,Srirangam,R. Manoharan,,
AIADMK,,Tiruchirappalli (East),K. Rajasekaran,,
AIADMK,,Tiruchirappalli (West),P. Kumar,,
AIADMK,,Thiruverumbur,M. Leela Rajesh,,
AIADMK,,Musiri,N. Yogalingam,,
AIADMK,,Vikravandi,K. Vijaya,,
AIADMK,,Tirukkoyilur,S. Pazhanisamy,,
AIADMK,,Ulundurpettai,R. Kumaraguru,,
AIADMK,,Sankarapuram,R. Madhavan,,
AIADMK,,Kallakurichi,S. Rajendran,SC,
AIADMK,,Gangavalli,A. Nallathambi,SC,
AIADMK,,Attur,A.P. Jayasankaran,SC,
AIADMK,,Yercaud,P. Usha Rani,ST,
AIADMK,,Omalur,R. Mani,,
AIADMK,,Mettur,G. Venkatachalam,,
AIADMK,,Sankari,S. Vetrivel,,
AIADMK,,Salem (South),J. Robert,,
AIADMK,,Veerapandi,P. Senthil Kumar,,
AIADMK,,Sendamangalam (Senthamangalam),C. Chandrasekaran,ST,
AIADMK,,Namakkal,P.S. Madhavi,,
AIADMK,,Paramathi Velur,S. Sekar,,
AIADMK,,Tiruchengodu,R. Chandrasekar,,
AIADMK,,Erode (East),R. Manoharan,,
AIADMK,,Dharapuram,P. Sathiyabama,SC,
AIADMK,,Kangayam,N.S.N. Nataraj,,
AIADMK,,Perundurai,S. Jayakumar,,
AIADMK,,Anthiyur,P. Haribhaskar,,
AIADMK,,Gobichettipalayam,V.B. Babu,,
AIADMK,,Bhavanisagar,A. Bannari,SC,
AIADMK,,Gudalur,Pon. Jayaseelan,SC,
AIADMK,,Coonoor,A. Ramu,,
AIADMK,,Mettupalayam,O.K. Chinnaraj,,
AIADMK,,Tiruppur (North),M.S.M. Anandan,,
AIADMK,,Palladam,K.P. Paramasivam,,
AIADMK,,Sulur,V.P. Kandhasamy,,
AIADMK,,Kavundampalayam,P.R.G. Arunkumar,,
AIADMK,20,Thousand Lights,Mrs. B. Valarmathi,Gen,Party Women's Wing Secretary; Former Minister
AIADMK,21,Anna Nagar,"Mrs. S. Gokula Indira, M.A., B.L.",Gen,Party Organizing Secretary; Former Minister
AIADMK,19,Chepauk-Thiruvallikeni,"Mr. Adhirajaram, B.A., B.L.",Gen,Party Organizing Secretary; District Party Secretary
AIADMK,151,Tittakudi,"Mr. N. Murugumaran, B.Sc., (Agri) B.L.",SC,Ex. M.L.A.; Party Organizing Secretary
AIADMK,18,Harbour,Mr. Royapuram R. Mano,Gen,Party Organizing Secretary
AIADMK,22,Virugambakkam,"Mr. Virugai V.N. Ravi, B.A.",Gen,Ex. M.L.A.; District Party Secretary
AIADMK,24,Thyagarayanagar,"Mr. B. Sathyanarayanan (alias) T. Nagar B. Sathya, B.Com.",Gen,Ex. M.L.A.; District Party Secretary
AIADMK,26,Velachery,"Mr. M.K. Ashok, M.A.",Gen,Ex. M.L.A.; District Party Secretary
AIADMK,27,Sholinganallur,Mr. K.P. Kandan,Gen,Ex. M.L.A.; District Party Secretary
AIADMK,11,Dr. Radhakrishnan Nagar,"Mr. R.S. Rajesh, D.M.E.",Gen,District Party Secretary
AIADMK,14,Villivakkam,"Mr. S.R. Vijayakumar, B.A., B.L.",Gen,Ex. M.P.; Party Propaganda Deputy Secretary
AIADMK,208,Thiruchuli,Mr. M.S.R. Rajavarman,Gen,Ex. M.L.A.; Puratchi Thalaivi Peravai Joint Secretary
AIADMK,28,Alandur,"Mr. S. Saravanan, B.A.",Gen,Ex. M.C.; Puratchi Thalaivi Peravai Joint Secretary
AIADMK,13,Kolathur (2),"Mr. P. Santhanakrishnan, ITI",Gen,Ex. M.C.; Puratchi Thalaivi Peravai Deputy Secretary
AIADMK,15,Thiru.Vi.Ka. Nagar,"Mrs. A. Porkodi, B.A., B.L.",SC,W/o Armstrong
AIADMK,16,Egmore,"Mr. Abhishek Rangasamy, B.Tech., B.L.",SC,M.G.R. Youth Wing Secretary
AIADMK,182,Alangudi,"Mr. Dhan. Vimal, B.A., B.L.",Gen,Pudukkottai North District Puratchi Thalaivi Peravai Joint Secretary
