Party,Assembly_No,Constituency,Candidate_Name,Category,Notes
BJP,6,Avadi,Shri M. Rajasimha Mahindra (M. Ashwiinkumar),Gen,
BJP,25,Mylapore,Smt. (Dr.) Tamilisai Soundararajan,Gen,
BJP,56,Thalli,Dr. Nagesh Kumar,Gen,
BJP,63,Tiruvannamalai,Shri C. Elumalai,Gen,
BJP,92,Rasipuram,Dr. S.D. Premkumar,SC,
BJP,100,Modakkurichi,Smt. Kirthika Shivkumar,Gen,
BJP,108,Udhagamandalam,Shri Bhojarajan,Gen,
BJP,112,Avanashi,Dr. L. Murugan,SC,
BJP,114,Tiruppur (South),Shri S. Thangaraj,Gen,
BJP,118,Coimbatore (North),Smt. Vanathi Srinivasan,Gen,
BJP,168,Thiruvarur,Shri Govi Chandru,Gen,
BJP,174,Thanjavur,Shri M. Muruganandam,Gen,
BJP,178,Gandharvakottai,Shri C. Udhayakumar,SC,
BJP,180,Pudukkottai,Shri N. Ramachandran,Gen,
BJP,183,Aranthangi,Smt. Kavitha Srikanth,Gen,
BJP,185,Tiruppattur,Shri K.C. Thirumaran,Gen,
BJP,187,Manamadurai,Shri Pon. V. Balaganapathy,SC,
BJP,192,Madurai South,Prof. Raama Sreenivasan,Gen,
BJP,204,Sattur,Shri Nainar Nagenthran,Gen,
BJP,211,Ramanathapuram,Shri GBS K. Nagendran,Gen,
BJP,215,Tiruchendur,Shri KRM Radhakrishnan,Gen,
BJP,220,Vasudevanallur,Shri Ananthan Ayyasamy,SC,
BJP,228,Radhapuram,Shri S.P. Balakrishnan,Gen,
BJP,230,Nagercoil,Shri M.R. Gandhi,Gen,
BJP,231,Colachel,Shri T. Sivakumar,Gen,
BJP,232,Padmanabhapuram,Shri P. Ramesh,Gen,
BJP,233,Vilavancode,Smt. S. Vijayadharini,Gen,
