Party,Assembly_No,Constituency,Candidate_Name,Category,Notes
Congress,2,Ponneri,Durai Chandrasekar,SC,
Congress,26,Velachery,JMH Aassan Maulaana,Gen,
Congress,29,Sriperumbudur,K. Selvaperunthagai,SC,
Congress,39,Sholingur,A.M. Munirathinam,Gen,
Congress,51,Uthangarai,R. Kuppu Saamy,SC,
Congress,53,Krishnagiri,Dr. A. Chella Kumar,Gen,
Congress,58,Pennagaram,GKM Tamil Kumaran,Gen,
Congress,82,Attur,S K Arthanari,SC,
Congress,98,Erode (East),Gopinath Palaniyappan,Gen,
Congress,108,Udhagamandalam,B. Ramachandran,Gen,
Congress,117,Kavundampalayam,K.P. Surya Prakash,Gen,
Congress,121,Singanallur,Ms. V. Shrinithi Naidu,Gen,
Congress,146,Thuraiyur,M. Vichu Lenin Prasath,SC,
Congress,155,Cuddalore,A.S. Chandrasekaran,Gen,
Congress,161,Mayiladuthurai,Jamal Yunus Mohamed,Gen,
Congress,183,Aranthangi,T. Rama Chandhiran,Gen,
Congress,184,Karaikudi,S. Mangudi,Gen,
Congress,197,Usilampatti,T. Saravana Kumar,Gen,
Congress,205,Sivakasi,Ganesan Ashokan,Gen,
Congress,210,Tiruvadanai,Rama Karumanickam,Gen,
Congress,216,Srivaikuntam,S. Oorvashi Amirtharaj,Gen,
Congress,219,Sankarankovil,Sangai Ganesan,SC,
Congress,225,Ambasamudram,V.P. Durai,Gen,
Congress,227,Nanguneri,Ruby Manoharan,Gen,
Congress,231,Colachel,Dr. Tharagai Cuthbert,Gen,
Congress,233,Vilavancode,T.T. Praveen,Gen,
Congress,234,Killiyoor,Adv. S. Rajesh Kumar,Gen,
