Party,Assembly_No,Constituency,Candidate_Name,Category,Notes
DMK,,Kanyakumari,"Re. Mahesh B.A., B.L.",,
DMK,,Nagercoil,S. Austin M.A.,,
DMK,,Radhapuram,M. Appavu,,
DMK,,Palayamkottai,M. Abdul Wahab B.Com.,,
DMK,,Tirunelveli,"Su. Subramanian B.E., M.B.A.",,
DMK,,Alangulam,"Dr. Paul Manoj Pandian M.A., M.L., Ph.D.",,
DMK,,Tenkasi,Dr. Kalai Kathiravan M.B.B.S.,,
DMK,,Vasudevanallur,"E. Raja B.Com., M.L.",,
DMK,,Kovilpatti,Ka. Karunanithi,,
DMK,,Ottapidaram,M.C. Shanmugiah B.Sc.,SC,
DMK,,Tiruchendur,Anitha Radhakrishnan,,
DMK,,Thoothukudi,"Geetha Jeevan M.Com., B.Ed.",,
DMK,,Vilathikulam,"G.V. Markandayan B.A., B.L.",,
DMK,,Mudukulathur,"R.S. Rajakannappan B.Sc., B.L.",,
DMK,,Ramanathapuram,Kaderbatcha (a) Muthuramalingam B.A.,,
DMK,,Paramakudi,"K.K. Kathiravan B.A., B.L.",SC,
DMK,,Tiruchuli,Thangam Thennarasu B.E.,,
DMK,,Aruppukkottai,K.K.S.S.R. Ramachandran,,
DMK,,Sattur,A.R.R. Raghuraman,,
DMK,,Rajapalayam,S. Thangapandian,,
DMK,,Cumbum,N. Ramakrishnan M.A.,,
DMK,,Bodinayakkanur,O. Panneerselvam B.A.,,
DMK,,Andipatti,A. Maharajan,,
DMK,,Tirumangalam,Sedapatti M. Manimaran,,
DMK,,Thiruparankundram,Krithika Thangapandian B.E.,,
DMK,,Madurai West,"Raghu Balaji B.A., B.L.",,
DMK,,Madurai Central,"Dr. P.T.R. Palanivel Thiagarajan B.Tech., M.S., Ph.D.",,
DMK,,Madurai North,Go. Thalapathi,,
DMK,,Sholavandan,A. Venkatesan B.A.,SC,
DMK,,Madurai East,P. Moorthy B.A.,,
DMK,,Manamadurai,A. Tamilarasi Ravikumar B.Com.,SC,
DMK,,Tiruppattur,"K.R. Periakaruppan B.Com., B.L.",,
DMK,,Alangudi,Siva. V. Meyyanathan M.C.A.,,
DMK,,Thirumayam,"S. Regupathy B.Sc., B.L.",,
DMK,,Pudukkottai,Dr. Vai. Muthuraja M.B.B.S.,,
DMK,,Viralimalai,"K.K. Sellapandian M.Com., B.L.",,
DMK,,Peravurani,N. Ashokkumar,,
DMK,,Pattukkottai,"Ka. Annadurai B.Sc., B.L.",,
DMK,,Orathanadu,R. Vaithilingam B.A.,,
DMK,,Thanjavur,Shan. Ramanathan M.B.A.,,
DMK,,Thiruvaiyaru,"Durai. Chandrasekaran B.A., L.L.B.",,
DMK,,Kumbakonam,Sakkottai Ka. Anbazhagan,,
DMK,,Thiruvidaimarudur,"Dr. Govi. Chezhian M.A., B.L., Ph.D.",,
DMK,,Tiruvarur,Poondi K. Kalaivanan,,
DMK,,Mannargudi,Dr. T.R.B. Rajaa Ph.D.,,
DMK,,Vedaranyam,Ma.Me. Pugazhendhi,,
DMK,,Poompuhar,Nivetha Murugan,,
DMK,,Bhuvanagiri,Durai Ki. Saravanan M.A.,,
DMK,,Kurinjipadi,"M.R.K. Panneerselvam B.Sc., B.L.",,
DMK,,Neyveli,"Saba. Rajendran B.Sc., B.E.",,
DMK,,Tittakudi,"C.V. Ganesan M.A., B.Ed., D.Co-op",SC,
DMK,,Jayankondam,Ka.So.Ka. Kannan M.Com.,,
DMK,,Ariyalur,Latha Balu M.A.,,
DMK,,Kunnam,"S.S. Sivasankar B.E., M.B.A.",,
DMK,,Perambalur,"Dr. S.D. Jayalakshmi M.B.B.S., D.G.O.",SC,
DMK,,Musiri,"N.S.N. Karunairaja B.Tech., M.B.A.",,
DMK,,Manachanallur,S. Kathiravan B.E.,,
DMK,,Lalgudi,A. Soundarapandian B.A.,,
DMK,,Thiruverumbur,"Anbil Mahesh Poyyamozhi M.C.A., Ph.D.",,
DMK,,Trichy (East),"Dr. Inigo Irudayaraj M.S.W., Ph.D.",,
DMK,,Trichy (West),K.N. Nehru,,
DMK,,Srirangam,"S. Palaniandi M.Com., M.Phil.",,
DMK,,Kulithalai,Suriyanur A. Chandiran M.A.,,
DMK,,Krishnarayapuram,S.K. Raja B.A.,SC,
DMK,,Karur,Asi. M. Thiagarajan,,
DMK,,Aravakurichi,Monjanur R. Elango B.E.,,
DMK,,Vedasandur,S. Gandhirajan B.Com.,,
DMK,,Dindigul,"I.P. Senthilkumar M.A., B.L.",,
DMK,,Nilakottai,Nagajothi B.Com.,SC,
DMK,,Athoor,"I. Periyasamy B.A., B.G.L.",,
DMK,,Oddanchatram,R. Sakkarapani B.A.,,
DMK,,Madathukulam,"R. Jayaramakrishnan B.Sc., B.L.",,
DMK,,Udumalpet,"K. Radhakrishnan B.Sc., M.A.",,
