Party,Assembly_No,Constituency,Candidate_Name,Category,Notes
NTK,,Gummidipoondi,R. Sridhar,,
NTK,,Ponneri,Rajathi,,
NTK,,Tiruttani,S.S.Chandran,,
NTK,,Tiruvallur,K.Senthil Kumar,,
NTK,,Poonamallee,Mehala,,
NTK,,Avadi,Punitha,,
NTK,,Maduravoyal,Revathi,,
NTK,,Ambattur,Aadhithan,,
NTK,,Madavaram,Kruthika Elumalai,,
NTK,,Thiruvottiyur,Sathya Baskar,,
NTK,,Dr. Radhakrishnan Nagar,Vennila Thayumanavan,,
NTK,,Perambur,Vetrithamizhan,,
NTK,,Kolathur,Soundrapandian,,
NTK,,Villivakkam,Roshini,,
NTK,,Thiru-Vi-Ka-Nagar,Jegadeesh Chander,,
NTK,,Egmore,Saranya,,
NTK,,Royapuram,Babumailan,,
NTK,,Harbour,Rufhkhan Sheriff,,
NTK,,Chepauk-Thiruvallikeni,Ayisha Beham,,
NTK,,Thousand Lights,Kalanjiyam,,
NTK,,Anna Nagar,C. Shankar,,
NTK,,Virugampakkam,Santhosh,,
NTK,,Saidapet,Srividhya,,
NTK,,Thiyagarayanagar,Anusha Vijayakumar,,
NTK,,Mylapore,Arun,,
NTK,,Velachery,Keerthana,,
NTK,,Shozhinganallur,Jayalakshmi Raman,,
NTK,,Alandur,Mahalakshmi,,
NTK,,Sriperumbudur,Sindhu,,
NTK,,Pallavaram,Karthikeyan,,
NTK,,Tambaram,Tamilselvi,,
NTK,,Chengalpattu,Amutha Nambiyar,,
NTK,,Thiruporur,Ambethrajan,,
NTK,,Cheyyur,Swathi Lakshmi,,
NTK,,Madurantakam,Janaki Raman,,
NTK,,Uthiramerur,Maram Maasilamani,,
NTK,,Kancheepuram,Vetriselvi,,
NTK,,Arakkonam,Raj Kumar,,
NTK,,Sholingur,Ashok Kumar,,
NTK,,Katpadi,Thirukumaran,,
NTK,,Ranipet,Tharikka Salman,,
NTK,,Arcot,Archaha,,
NTK,,Vellore,Soniya,,
NTK,,Anaikattu,Ravi Kumar,,
NTK,,Kilvaithinankuppam,Kalaiyendri,,
NTK,,Gudiyattam,Imalan,,
NTK,,Vaniyambadi,Murugesan,,
NTK,,Ambur,Afsia Thoufic Bikrid,,
NTK,,Jolarpet,Sasi Rekha,,
NTK,,Tirupattur,Aarumugam,,
NTK,,Uthangarai,Megala,,
NTK,,Bargur,Kavin,,
NTK,,Krishnagiri,Suganthi Parthiban,,
NTK,,Veppanahalli,Nagaraj,,
NTK,,Hosur,Stalin,,
NTK,,Thalli,Narasimman,,
