"constituency_no","constituency","name","education","role","image_url"
"1","Gummidipoondi","S. Vijayakumar","B.Sc., B.L","Tiruvallur North District Party Secretary","https://d462xg1zgerhx.cloudfront.net/1-2.jpg"
"2","Ponneri","M.S. Ravi","MD., DM (Cardiology)","Party Administrator","https://d462xg1zgerhx.cloudfront.net/2-1.jpg"
"3","Tiruttani","M. Sathyakumar","LLM, ACA, ACMA, ACS, CIMA (UK), MA (Eco), Ph.D","National Spokesperson","https://d462xg1zgerhx.cloudfront.net/3-1.jpg"
"4","Tiruvallur","T. Arun Kumar","MBBS MS","Party Administrator","https://d462xg1zgerhx.cloudfront.net/4-1.jpg"
"5","Poonamalle","R. Prakasam","","Tiruvallur South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/5-2.jpg"
"6","Avadi","R. Ramesh Kumar","BA","Party Administrator","https://d462xg1zgerhx.cloudfront.net/6-1.jpg"
"7","Maduravoyal","P. Revanth Saran","B.A. B.L. (Hons.), L.L.M., (UK)","Chennai Zonal Advocates Wing Coordinator","https://d462xg1zgerhx.cloudfront.net/7-1.jpg"
"8","Ambattur","G. Balamurugan","DCT, ADCA","Chennai East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/8-1.jpg"
"9","Madhavaram","M.L. Vijayprabhu","B.A. LLB, M.Sc (C.P) DIS","Tiruvallur South-West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/9.jpg"
"10","Thiruvottiyur","N. Senthil Kumar","B.E, B.L","District Executive Committee Member","https://d462xg1zgerhx.cloudfront.net/10-1.jpg"
"11","R.K.Nagar","N. Marie Wilson","B.Tech., MBA., Ph.D","Executive Committee Member","https://d462xg1zgerhx.cloudfront.net/11.jpg"
"12","Perambur","C. Joseph Vijay","","Party President","https://d462xg1zgerhx.cloudfront.net/12a.jpg"
"13","Kolathur","V.S. Babu, Ex. MLA","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/13a.jpg"
"14","Villivakkam","Aadhav Arjuna","","General Secretary for Election Campaign Management","https://d462xg1zgerhx.cloudfront.net/aadhav sir passport size photo2.jpg.jpg"
"15","Thiru.Vi.Ka. Nagar","M.R. Pallavi","B.A","Chennai North District Party Secretary","https://d462xg1zgerhx.cloudfront.net/15-2.jpg"
"16","Egmore","A. Rajmohan","B.Tech. IT","Deputy General Secretary of the Party","https://d462xg1zgerhx.cloudfront.net/16.jpg"
